 ,Module Code,,Module Title,Assess Code,Resit Assesment Code,Examiner,Assessment Title,Duration,Methodology,Reviewer,ASMG Monitor,External Examiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26953,LH,LH Operating Systems,A30856,A30857,Eike Ritter,Operating Systems,01:30,Written Unseen,Robert Hendley,Ian Batten,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26952,LM,LM Operating Systems (Ext),A30854, ,Eike Ritter,Operating Systems (Extended),01:30,Written Unseen,Robert Hendley,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26952,LM,LM Operating Systems (Ext),A31942, ,Eike Ritter,Operating Systems (Extended) (Special paper),01:30,Written Unseen,Robert Hendley,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28732,LC,LC Digital Image Processing and Algorthims,A32120,A32766,Ela Claridge,Digital Image Processing and Analysis,01:30,Written Unseen,Hamid Dehghani,Mark Lee,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26644,LM,LM Comp Tool Model Analys,A31955,A32167,Hamid Dehghani,Computational Tools for  Modelling Analysis,01:30,Written Unseen,Iain Styles,Ela Claridge,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 19339,LI,LI Computational Vision,A21572,A23295,Hamid Dehghani,Computational Vision,01:30,Written Unseen,Ales Leonardis,Mark Lee,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26266,LI,LI C/C++,A30305,A30306,Hayo Thielecke,C/C++,01:30,Written Unseen,Ian Batten,Peter Tino,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 02578,LH,LH Compilers & Language,A06507,A15471,Hayo Thielecke,Compilers & Languages,01:30,Written Unseen,Dan Ghica,Martin Escardo,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 15255,LM,LM Compilers/Langs (extended),A13934,A27777,Hayo Thielecke,Compilers and Languages (Extended),01:30,Written Unseen,Dan Ghica,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 19340,LI,LI Computer Systems and Architecure, A31333,A21573,Iain Styles,Computer Systems and Archiecture (Special),01:30,Written Unseen,Ian Batten,Iain Styles,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
